1024,1024,4194304,8,16
4096,1024,4194304,4,16
512,512,4194304,1,17
512,1024,2097152,4,16
16384,1024,2097152,12,16
1024,512,2097152,12,16
16384,512,2097152,2,17
65536,512,2097152,1,18
4096,1024,1048576,2,17
512,128,4194304,10,16
4096,256,2097152,10,16
2048,512,1048576,1,19
65536,128,2097152,8,17
512,256,1048576,6,18
65536,256,1048576,10,16
2048,128,1048576,1,20
32768,128,1048576,2,19
1024,256,524288,4,19
4096,1024,131072,2,19
8192,1024,131072,12,16
512,30,4194304,10,16
2048,30,4194304,10,16
8192,30,4194304,12,16
65536,60,2097152,12,16
4096,128,524288,2,20
512,256,262144,1,21
32768,256,262144,2,20
32768,256,262144,6,19
1024,60,1048576,6,19
4096,60,1048576,8,19
4096,512,65536,12,17
512,15,2097152,10,18
32768,15,2097152,10,18
65536,7,4194304,4,19
512,128,131072,4,20
2048,256,65536,6,19
2048,30,524288,4,20
8192,60,262144,4,20
16384,60,262144,8,20
16384,60,262144,12,18
512,15,524288,4,21
2048,15,524288,6,20
8192,15,524288,4,21
512,30,262144,1,23
1024,30,262144,12,19
4096,30,262144,4,21
65536,30,262144,10,20
512,60,131072,1,23
8192,60,131072,1,23
512,30,131072,10,21
8192,30,131072,12,20
16384,30,131072,12,20
4096,30,65536,2,23
16384,15,65536,8,22
8192,7,131072,10,22
512,7,65536,1,24
