4096,1024,4194304,10,175
8192,1024,4194304,1,177
4096,512,4194304,2,177
4096,512,4194304,10,175
8192,512,4194304,2,177
32768,512,4194304,1,178
2048,1024,2097152,4,177
2048,512,2097152,4,178
65536,1024,1048576,10,176
4096,128,4194304,1,181
8192,128,4194304,12,175
8192,256,2097152,12,176
65536,256,2097152,8,178
1024,512,1048576,6,179
1024,1024,524288,4,179
16384,1024,524288,12,176
512,128,2097152,8,178
1024,128,2097152,6,179
2048,128,2097152,12,176
1024,256,1048576,4,182
1024,256,1048576,10,178
1024,512,524288,1,184
4096,512,524288,6,180
512,1024,262144,10,177
4096,1024,262144,2,181
32768,1024,262144,12,175
512,128,1048576,8,176
32768,128,1048576,2,185
512,256,524288,2,184
8192,256,524288,10,177
1024,512,262144,10,178
4096,512,262144,2,184
8192,512,262144,8,180
32768,512,262144,1,186
8192,1024,131072,2,184
32768,1024,131072,1,187
1024,60,2097152,6,185
2048,60,2097152,1,196
4096,60,2097152,4,190
8192,60,2097152,2,194
2048,128,524288,12,181
32768,128,524288,8,189
2048,512,131072,1,198
2048,512,131072,6,190
32768,512,131072,4,194
65536,512,131072,4,195
512,15,4194304,4,197
8192,15,4194304,10,189
32768,15,4194304,8,191
4096,30,2097152,12,186
8192,30,2097152,1,203
2048,60,1048576,1,204
8192,60,1048576,4,198
16384,60,1048576,1,205
16384,60,1048576,2,201
2048,128,262144,12,187
16384,128,262144,2,204
16384,128,262144,6,202
4096,256,131072,2,204
32768,256,131072,6,201
1024,30,1048576,12,188
16384,30,1048576,2,203
1024,60,524288,6,200
2048,256,65536,1,215
2048,256,65536,4,203
65536,256,65536,2,205
65536,256,65536,8,199
512,15,1048576,10,199
2048,15,1048576,4,203
32768,15,1048576,12,190
512,30,524288,6,201
2048,30,524288,12,191
32768,30,524288,10,198
512,7,2097152,8,200
1024,7,2097152,1,214
32768,7,2097152,12,193
1024,15,524288,8,202
2048,15,524288,8,201
8192,15,524288,8,201
65536,15,524288,4,207
65536,15,524288,8,202
4096,30,262144,12,194
512,60,131072,4,209
8192,60,131072,8,201
1024,7,1048576,1,217
8192,7,1048576,2,207
65536,7,1048576,2,212
2048,15,262144,1,218
8192,30,131072,8,203
16384,30,131072,4,211
512,30,65536,6,209
1024,30,65536,2,213
1024,30,65536,8,204
16384,30,65536,12,198
16384,7,262144,2,214
2048,15,65536,12,199
16384,15,65536,6,210
2048,7,131072,8,210
16384,7,131072,6,211
