16384,1024,4194304,10,39
32768,1024,4194304,2,43
65536,1024,4194304,1,48
16384,1024,2097152,1,60
32768,1024,2097152,6,44
65536,1024,2097152,2,47
2048,256,4194304,6,53
4096,256,4194304,2,56
16384,512,2097152,10,51
8192,1024,1048576,1,59
1024,128,4194304,1,62
2048,256,2097152,8,54
1024,512,1048576,1,60
2048,512,1048576,6,55
65536,512,1048576,1,59
512,256,1048576,1,60
1024,256,1048576,1,59
1024,256,1048576,12,46
4096,512,524288,12,46
16384,1024,262144,4,51
1024,60,4194304,12,53
2048,60,4194304,2,60
16384,128,1048576,4,55
65536,128,1048576,6,54
512,256,524288,10,52
1024,256,524288,10,52
4096,256,524288,10,53
16384,256,524288,4,57
1024,1024,131072,4,57
2048,1024,131072,12,51
8192,1024,131072,8,54
16384,1024,131072,2,60
16384,1024,131072,12,51
512,60,2097152,12,53
1024,60,2097152,1,62
4096,60,2097152,4,60
1024,128,524288,6,59
1024,128,524288,10,57
2048,128,524288,6,58
512,256,262144,10,54
4096,256,262144,1,63
512,512,131072,10,54
4096,512,131072,12,53
65536,512,131072,12,54
4096,1024,65536,12,53
16384,30,2097152,8,59
4096,60,1048576,6,60
4096,60,1048576,8,59
4096,128,262144,1,66
8192,256,131072,8,60
16384,256,131072,6,61
65536,512,65536,6,60
512,15,2097152,4,62
512,15,2097152,12,57
4096,30,1048576,8,142
8192,30,1048576,1,67
65536,30,1048576,1,67
8192,7,4194304,12,58
32768,7,4194304,12,58
65536,7,4194304,2,70
512,128,131072,1,68
65536,128,131072,12,60
8192,256,65536,12,59
512,15,1048576,12,60
2048,7,2097152,6,62
4096,7,2097152,1,74
8192,7,2097152,8,61
32768,7,2097152,12,60
512,128,65536,6,59
65536,128,65536,12,59
2048,7,1048576,1,76
4096,7,1048576,1,77
16384,7,1048576,10,60
32768,7,1048576,6,64
65536,7,1048576,10,61
65536,15,262144,1,77
512,30,131072,10,61
32768,30,131072,1,141
65536,30,131072,10,148
512,60,65536,8,61
8192,60,65536,12,57
16384,60,65536,6,60
4096,15,131072,4,61
4096,15,131072,6,61
512,30,65536,8,60
1024,30,65536,2,70
8192,30,65536,4,66
32768,30,65536,8,62
32768,30,65536,10,60
2048,7,262144,6,61
4096,7,262144,2,72
512,15,65536,6,61
2048,15,65536,2,74
2048,15,65536,12,60
512,7,131072,12,60
