4096,1024,4194304,8,267
65536,1024,4194304,2,280
1024,512,4194304,2,283
1024,512,4194304,10,269
2048,512,4194304,1,284
2048,512,4194304,2,283
16384,512,4194304,4,280
32768,512,4194304,10,274
8192,1024,2097152,2,285
8192,1024,2097152,10,274
512,256,4194304,1,286
8192,256,4194304,4,283
512,1024,1048576,12,272
8192,1024,1048576,6,280
512,128,4194304,1,288
1024,128,4194304,12,276
8192,128,4194304,6,282
32768,128,4194304,1,288
1024,256,2097152,2,286
1024,256,2097152,12,277
512,512,1048576,12,278
1024,512,1048576,2,286
4096,512,1048576,1,288
8192,512,1048576,2,287
512,128,2097152,1,290
2048,128,2097152,12,282
8192,128,2097152,8,285
32768,128,2097152,12,282
32768,256,1048576,8,285
65536,256,1048576,4,289
4096,512,524288,6,288
16384,512,524288,10,284
65536,512,524288,6,289
1024,1024,262144,4,289
32768,1024,262144,6,290
1024,60,4194304,2,291
65536,256,524288,2,293
32768,512,262144,8,289
65536,512,262144,1,294
16384,1024,131072,8,289
4096,30,4194304,2,293
65536,30,4194304,1,294
1024,60,2097152,2,293
2048,60,2097152,8,291
8192,60,2097152,8,290
8192,60,2097152,10,289
8192,60,2097152,12,288
32768,60,2097152,1,295
16384,256,262144,6,293
32768,512,131072,8,292
65536,1024,65536,6,293
2048,15,4194304,10,292
65536,15,4194304,12,290
1024,30,2097152,10,292
2048,30,2097152,10,292
1024,60,1048576,1,299
1024,60,1048576,12,290
32768,60,1048576,10,292
4096,128,262144,10,293
512,256,131072,12,291
16384,256,131072,12,292
32768,256,131072,12,292
65536,256,131072,4,296
512,512,65536,1,301
32768,512,65536,6,296
32768,512,65536,10,295
65536,512,65536,4,297
16384,15,2097152,1,302
32768,15,2097152,12,293
512,30,1048576,8,296
2048,30,1048576,4,298
16384,30,1048576,4,298
4096,60,524288,1,302
2048,7,4194304,2,301
16384,7,4194304,10,299
1024,128,131072,2,302
16384,128,131072,12,298
512,15,1048576,4,301
4096,30,524288,6,300
16384,30,524288,10,299
32768,30,524288,4,302
4096,60,262144,4,302
32768,128,65536,10,301
16384,15,524288,4,303
16384,15,524288,12,300
2048,7,1048576,4,304
4096,7,1048576,4,304
16384,7,1048576,8,302
512,15,262144,1,307
8192,15,262144,6,304
1024,30,131072,4,305
2048,30,131072,4,306
2048,30,131072,12,301
8192,60,65536,4,305
8192,60,65536,8,303
1024,7,524288,6,305
32768,15,131072,8,305
65536,15,131072,4,307
4096,7,262144,12,304
16384,15,65536,1,308
65536,7,131072,1,308
65536,7,131072,2,307
512,7,65536,4,308
