2048,512,4194304,10,92
16384,1024,2097152,4,96
16384,256,4194304,10,92
8192,512,2097152,4,97
16384,1024,1048576,2,100
8192,128,4194304,4,102
1024,256,2097152,2,104
65536,256,2097152,10,96
1024,512,1048576,4,101
1024,512,1048576,8,98
16384,512,1048576,6,100
8192,1024,524288,8,99
65536,1024,524288,12,94
65536,128,2097152,6,101
8192,256,1048576,6,101
8192,256,1048576,10,98
65536,256,1048576,1,112
8192,512,524288,4,109
65536,512,524288,6,106
8192,1024,262144,8,104
65536,1024,262144,8,103
8192,60,4194304,6,105
16384,128,1048576,12,99
1024,256,524288,10,104
2048,256,524288,1,117
2048,128,524288,6,113
16384,128,524288,2,118
512,256,262144,6,114
1024,256,262144,1,120
32768,256,262144,6,114
512,512,131072,12,105
65536,512,131072,10,110
2048,1024,65536,6,114
32768,1024,65536,4,117
65536,1024,65536,8,113
1024,15,4194304,1,123
2048,15,4194304,1,123
8192,15,4194304,8,115
512,30,2097152,8,115
16384,30,2097152,4,120
1024,60,1048576,12,109
8192,128,262144,10,118
512,256,131072,12,113
1024,256,131072,8,122
8192,256,131072,6,125
32768,256,131072,10,119
512,512,65536,2,128
512,15,2097152,8,123
512,15,2097152,10,120
1024,15,2097152,12,117
1024,30,1048576,2,131
1024,30,1048576,4,126
32768,30,1048576,8,123
65536,30,1048576,12,117
16384,60,524288,8,123
32768,60,524288,10,120
2048,7,4194304,1,137
16384,7,4194304,4,134
8192,128,131072,6,135
2048,256,65536,2,138
8192,256,65536,4,136
16384,15,1048576,10,128
4096,30,524288,6,136
1024,128,65536,1,140
2048,128,65536,12,128
16384,128,65536,10,130
1024,15,524288,2,140
1024,15,524288,10,131
512,30,262144,1,142
1024,30,262144,2,140
65536,30,262144,12,130
1024,60,131072,12,130
2048,60,131072,1,141
4096,7,1048576,6,136
32768,15,262144,12,133
512,30,131072,2,141
512,30,131072,12,133
2048,60,65536,12,133
32768,60,65536,10,135
512,7,524288,4,140
32768,7,524288,10,137
512,15,131072,4,141
1024,30,65536,4,141
2048,15,65536,4,142
65536,15,65536,8,140
1024,7,131072,1,145
4096,7,131072,12,137
512,7,65536,10,139
16384,7,65536,2,145
65536,7,65536,1,148
